#!,Workbook:,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
FLEX:951,990,948
FLEX:951,992,954
FLEX:955,978,936
FLEX:954,946,900
FLEX:950,847,799
FLEX:953,788,723
FLEX:1023,703,635
FLEX:947,573,500
FLEX:1023,494,421
FLEX:949,439,400
FLEX:950,469,431
FLEX:1023,532,495
FLEX:950,640,618
FLEX:950,749,731
FLEX:946,852,819
FLEX:951,959,930
FLEX:946,991,960
FLEX:949,979,946
FLEX:948,955,921
FLEX:947,887,843
FLEX:947,815,757
FLEX:946,734,661
FLEX:949,618,547
FLEX:944,501,435
FLEX:948,443,389
FLEX:949,455,415
FLEX:949,468,438
FLEX:951,576,552
FLEX:950,693,668
FLEX:947,803,782
FLEX:948,908,872
FLEX:946,980,945
FLEX:949,992,957
FLEX:948,959,934
FLEX:949,933,886
FLEX:950,847,803
FLEX:945,767,711
FLEX:947,687,604
FLEX:951,550,482
FLEX:946,480,411
FLEX:949,443,395
FLEX:950,472,424
FLEX:948,519,486
FLEX:951,636,607
FLEX:952,750,729
FLEX:947,855,826
FLEX:949,951,920
FLEX:952,999,957
FLEX:946,988,944
FLEX:950,949,919
FLEX:949,890,843
FLEX:950,815,758
FLEX:946,725,652
FLEX:947,615,548
FLEX:952,526,442
FLEX:945,474,403
FLEX:951,475,423
