flex1,flex2,flex3,sum,gesture
954,958,933,2845,two fingers
955,934,899,2788,two fingers
954,897,850,2601,two fingers
955,854,803,2457,two fingers
959,811,737,2507,two fingers
956,754,670,2380,two fingers
955,703,612,2270,two fingers
959,673,586,2218,two fingers
958,670,594,2222,two fingers
955,680,610,2250,two fingers
957,718,656,2031,two fingers
957,774,727,2458,two fingers
955,834,794,2482,two fingers
955,892,851,2598,two fingers
954,948,914,2816,two fingers
955,983,955,2893,two fingers
959,980,947,2886,two fingers
956,961,926,2843,two fingers
958,945,907,2810,two fingers
955,898,854,2606,two fingers
954,857,797,2508,two fingers
956,810,739,2309,two fingers
959,760,672,2391,two fingers
961,716,620,2297,two fingers
954,673,585,2212,two fingers
955,671,594,1820,two fingers
957,678,605,1880,two fingers
956,894,1023,2873,thumbs up
957,894,1023,2874,thumbs up
954,894,1023,2871,thumbs up
955,894,1023,2872,thumbs up
954,894,1023,2871,thumbs up
953,893,1023,2869,thumbs up
952,894,1023,2869,thumbs up
950,893,1023,2866,thumbs up
950,893,1023,2866,thumbs up
951,894,1023,2868,thumbs up
950,893,1023,2866,thumbs up
947,893,1023,2863,thumbs up
950,893,1023,2866,thumbs up
949,894,1023,2866,thumbs up
948,893,1023,2864,thumbs up
951,894,1023,2868,thumbs up
949,893,1023,2865,thumbs up
950,893,1023,2866,thumbs up
946,893,1023,2862,thumbs up
949,893,1023,2865,thumbs up
952,893,1023,2868,thumbs up
945,893,1023,2861,thumbs up
945,893,1023,2861,thumbs up
948,893,1023,2864,thumbs up
952,893,1023,2868,thumbs up
960,895,1023,2878,thumbs up
961,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
961,895,1023,2879,thumbs up
961,896,1023,2880,thumbs up
960,896,1023,2879,thumbs up
961,896,1023,2880,thumbs up
961,896,1023,2880,thumbs up
960,896,1023,2879,thumbs up
961,896,1023,2880,thumbs up
961,896,1023,2880,thumbs up
961,895,1023,2879,thumbs up
960,896,1023,2879,thumbs up
961,897,1023,2881,thumbs up
960,896,1023,2880,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,895,1023,2878,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
959,896,1023,2878,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs ups
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,895,1023,2878,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
960,896,1023,2879,thumbs up
961,896,1023,2880,thumbs up





